# Total counts:		2544	2522	2494	2440
#
"cluster"	"supercluster"	"LAS"	"PFL"	"PST"	"VML"
1	1	61	0	0	0
2	2	0	23	36	0
3	3	45	0	0	0
4	4	0	0	0	38
5	5	32	0	0	0
6	6	0	13	15	0
7	7	0	7	18	0
8	8	0	0	0	24
9	9	0	0	0	23
10	10	0	11	11	0
11	11	0	0	0	20
12	12	0	0	0	20
13	13	0	8	11	0
14	14	0	8	9	0
15	15	0	4	13	0
16	16	17	0	0	0
17	17	12	1	0	1
18	18	0	4	10	0
19	19	0	9	4	0
20	20	7	6	0	0
21	21	0	6	6	0
22	22	0	0	0	12
23	23	0	6	5	0
24	24	0	5	6	0
25	25	0	0	0	11
26	26	0	4	7	0
27	27	0	9	2	0
28	28	10	0	0	0
29	29	0	7	3	0
30	30	0	4	6	0
31	31	0	4	6	0
32	32	0	6	4	0
33	33	0	9	1	0
34	34	9	0	0	0
35	35	0	5	4	0
36	36	0	6	3	0
37	37	0	4	5	0
38	38	0	0	0	9
39	39	0	0	0	9
40	40	0	4	5	0
41	41	2	0	2	5
42	42	8	0	0	0
43	43	0	4	4	0
44	44	0	4	4	0
45	45	0	4	4	0
46	46	0	0	0	8
47	47	0	0	0	8
48	48	8	0	0	0
49	49	8	0	0	0
50	50	0	4	4	0
51	51	0	1	7	0
52	52	0	3	4	0
53	53	0	5	2	0
54	54	2	1	0	4
55	55	0	0	0	7
56	56	0	0	0	7
57	57	0	2	1	4
58	58	0	0	0	7
59	59	0	5	2	0
60	60	0	5	2	0
61	61	1	4	0	2
62	62	6	0	0	0
63	63	6	0	0	0
64	64	0	5	1	0
65	65	0	3	3	0
66	66	0	2	4	0
67	67	0	0	6	0
68	68	0	3	3	0
69	69	0	2	4	0
70	70	0	0	0	6
71	71	0	0	0	6
72	72	0	0	0	6
73	73	0	0	0	6
74	74	0	0	0	6
75	75	0	5	1	0
76	76	0	5	1	0
77	77	0	5	1	0
78	78	0	6	0	0
79	79	0	5	1	0
80	80	0	0	0	6
81	81	0	0	0	6
82	82	5	0	0	0
83	83	5	0	0	0
84	84	5	0	0	0
85	85	5	0	0	0
86	86	5	0	0	0
87	87	0	5	0	0
88	88	0	3	2	0
89	89	0	5	0	0
90	90	0	5	0	0
91	91	0	2	3	0
92	92	0	2	3	0
93	93	0	0	0	5
94	94	0	0	0	5
95	95	0	0	0	5
96	96	0	0	0	5
97	97	0	0	0	5
98	98	0	0	0	5
99	99	0	0	0	5
100	100	0	0	0	5
101	101	5	0	0	0
102	102	5	0	0	0
103	103	0	5	0	0
104	104	0	1	2	2
105	105	0	0	5	0
106	106	0	1	4	0
107	107	0	2	3	0
108	108	0	3	2	0
109	109	0	0	0	5
110	110	0	0	0	5
111	111	0	0	0	5
112	112	5	0	0	0
113	113	5	0	0	0
114	114	0	3	2	0
115	115	0	4	1	0
116	116	0	0	0	5
117	117	0	4	1	0
118	118	0	2	3	0
119	119	0	0	0	5
120	120	4	0	0	0
121	121	4	0	0	0
122	122	4	0	0	0
123	123	4	0	0	0
124	124	0	4	0	0
125	125	0	3	1	0
126	126	0	3	1	0
127	127	0	3	1	0
128	128	0	4	0	0
129	129	0	2	1	1
130	130	0	2	2	0
131	131	0	2	2	0
132	132	0	2	2	0
133	133	0	0	4	0
134	134	0	2	2	0
135	135	0	2	2	0
136	136	0	1	3	0
137	137	0	2	2	0
