"Number_of_reads_in_clusters"	1185180
"Number_of_clusters"	62148
"Number_of_superclusters"	62031
"Number_of_singlets"	314820
"Number_of_analyzed_reads"	1500000

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_classification"	"TAREAN_classification"	"Manual_classification"
1	7	24461	24461	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
2	5	20844	20844	"All/repeat"	"Putative satellites (high confidence)"	""
3	3	20214	20214	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
4	1	19164	19164	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
5	3	15681	15681	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
6	1	13917	13917	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
7	1	12732	12732	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
8	2	12276	12276	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
9	1	12010	12010	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
10	4	11967	11967	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
11	1	11876	11876	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
12	1	11011	11011	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
13	1	10789	10789	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
14	1	10413	10413	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
15	2	10117	10117	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
16	11	10078	10078	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
17	1	10069	10069	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	""
18	12	10020	10020	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
19	2	9991	9991	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
