# Total counts:		500000	500000	500000
#
"cluster"	"supercluster"	"VGR"	"VVL"	"VCR"
1	7	2	23848	611
2	5	2	17701	3141
3	3	192	2029	17993
4	1	7712	7819	3633
5	3	5070	1447	9164
6	1	13435	280	202
7	1	3795	4657	4280
8	2	2220	4908	5148
9	1	6550	2565	2895
10	4	3491	2953	5523
11	1	11851	16	9
12	1	225	7724	3062
13	1	5084	2137	3568
14	1	6	4063	6344
15	2	2100	4179	3838
16	11	10074	0	4
17	1	14	6041	4014
18	12	0	10004	16
19	2	3268	3480	3243
20	1	9729	1	254
21	3	3176	864	5911
22	1	2841	3676	3381
23	1	13	4155	5344
24	8	2432	2824	4189
25	1	4773	1371	3179
26	2	2137	3647	3231
27	1	4646	1205	3014
28	3	3070	855	4934
29	1	8677	4	6
30	1	8355	111	74
31	16	2681	4028	1625
32	1	11	1911	6328
33	1	8173	7	35
34	1	8123	2	2
35	1	0	4516	3205
36	2	1933	2911	2782
37	2	1612	2989	2738
38	1	6035	475	811
39	8	1346	2592	3352
40	1	13	4045	3221
41	4	3202	1797	2207
42	1	4247	786	2164
43	1	7170	7	5
44	19	826	3713	2586
45	2	651	4492	1975
46	1	6953	1	14
47	2	2499	2045	2368
48	6	26	2678	4117
49	21	3551	1464	1752
50	6	6151	136	367
51	1	6509	122	10
52	1	6568	1	3
53	1	5730	514	226
54	1	5825	419	214
55	1	5689	497	177
56	1	1	3132	3202
57	1	5488	510	221
58	14	5257	104	795
59	3	694	695	4762
60	1	2	1751	4349
61	2	52	1712	4194
62	1	0	4147	1733
63	1	5844	4	6
64	6	3750	765	1319
65	1	2326	1324	2090
66	1	3676	1347	670
67	1	2	3860	1753
68	1	2	2042	3566
69	4	1794	1096	2590
70	3	5	1829	3461
71	25	235	1833	3216
72	15	2776	1535	749
73	4	2098	1055	1854
74	4	1994	1457	1447
75	1	4754	2	1
76	10	494	1179	3076
77	1	4671	7	12
78	17	572	2972	1138
79	1	3326	778	559
80	1	4643	3	12
81	27	0	2092	2534
82	1	4450	0	0
83	1	4369	26	7
84	29	0	1569	2758
85	30	408	2286	1601
86	1	5	2856	1359
87	22	651	1982	1415
88	3	3	121	3812
89	31	372	2555	984
90	26	598	1793	1506
91	1	3877	0	1
92	24	0	2235	1633
93	1	3692	25	80
94	32	0	1835	1937
95	20	564	1012	2110
96	4	762	891	1956
97	28	602	1590	1390
98	3	851	726	1938
99	1	3481	2	3
100	10	341	856	2284
101	1	3439	16	25
102	20	912	777	1741
103	1	3419	0	0
104	15	1572	1268	518
105	13	570	1435	1340
106	34	84	338	2913
107	6	3232	6	18
108	17	1160	959	1130
109	23	3201	0	1
110	1	4	745	2397
111	18	447	1515	1183
112	9	1577	512	1028
113	36	564	876	1597
114	9	1766	330	941
115	1	0	455	2521
116	37	4	800	2104
117	35	367	123	2409
118	13	495	1407	994
119	38	2228	564	93
120	1	2825	29	12
121	18	290	1692	833
122	23	2717	0	0
123	39	1036	570	1077
124	40	786	590	1269
125	22	467	1237	926
126	41	961	518	1103
127	1	2522	0	2
128	1	0	2199	221
129	14	2358	5	10
130	42	355	1078	915
131	9	2179	37	121
132	43	351	1064	894
133	44	2266	0	5
134	6	0	325	1840
135	45	919	226	984
136	46	326	1083	702
137	5	278	1608	208
138	1	35	1711	328
139	47	2023	0	0
140	10	153	471	1383
141	9	1266	205	511
142	48	707	692	580
143	33	340	872	758
144	24	0	1931	29
145	49	4	1452	487
146	18	326	842	742
147	5	593	719	559
148	50	0	15	1844
149	51	0	2	1830
150	52	297	800	726
151	1	1783	1	2
152	1	1	422	1357
153	1	1755	0	0
154	53	0	844	881
155	54	2	577	1144
156	1	1713	0	6
157	55	377	401	906
158	56	529	906	227
159	57	1612	0	0
160	58	299	706	597
161	9	2	641	923
162	1	2	416	1102
163	59	139	1363	9
164	33	242	740	522
165	1	0	1017	409
166	60	2	516	907
167	61	1389	0	2
168	62	314	523	538
169	63	1340	0	0
170	2	10	2	1294
171	64	367	290	649
172	65	301	362	639
173	13	197	568	526
174	66	1184	8	93
175	13	217	601	452
176	67	1	516	744
177	26	183	577	453
178	68	1209	0	0
179	69	0	1201	0
180	70	188	615	388
181	71	0	788	396
182	72	0	1154	0
183	73	0	307	813
184	74	178	549	374
185	75	196	533	369
186	9	662	91	295
187	2	1040	0	1
188	77	60	450	511
189	78	651	118	238
190	79	208	508	284
191	76	240	629	126
192	80	158	460	360
193	28	159	460	351
194	81	21	446	503
195	1	917	0	2
196	82	62	531	318
197	83	18	79	776
198	84	0	374	497
199	85	0	822	30
200	86	0	642	184
201	87	819	0	2
202	88	189	392	214
203	89	2	277	514
204	90	0	243	529
205	91	754	0	0
206	92	97	528	120
207	93	88	467	176
208	94	27	79	609
209	95	0	713	0
210	96	0	706	1
211	97	74	445	182
212	98	159	240	268
213	99	71	307	284
214	100	0	38	611
215	101	0	643	1
216	102	580	5	50
217	103	615	0	3
218	104	615	2	1
219	105	0	460	136
220	106	585	1	0
221	107	0	160	406
222	108	221	81	256
223	109	161	19	364
224	110	532	0	0
225	111	261	135	123
226	112	519	0	0
227	113	0	517	0
228	114	0	86	425
229	115	54	249	207
230	116	0	265	221
231	117	474	0	0
232	118	0	464	8
233	119	87	267	115
234	120	4	67	378
235	121	0	220	226
236	122	217	154	67
237	123	432	0	0
238	124	386	5	21
239	125	139	124	145
